ISO,Country_Name,lat,long,Out_1,lat,long,Out_2,lat,long,Out_3,lat,long,Out_4,lat,long,Out_5,lat,long,Out_6,lat,long,Out_7,lat,long,Out_8,lat,long,Out_9,lat,long,Out_10,lat,long,Out_11,lat,long,Out_12,lat,long,Out_13,lat,long,Out_14,lat,long,Out_15,lat,long,Out_16,lat,long,Out_17,lat,long,Out_18,lat,long,Out_19,lat,long,Out_20,lat,long,Out_21,lat,long,Out_22,lat,long,Out_23,lat,long
AL,Albania ,41.1533,20.1683,BE,50.5039,4.4699,CH,46.8182,8.2275,DE,51.1657,10.4515,GB,55.3781,3.4360,IE,53.4129,8.2439,IT,41.8719,12.5674,NL,52.1326,5.2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria ,47.5162,14.5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,Belarus ,53.7098,27.9534,BE,50.5039,4.4699,CH,46.8182,8.2275,DE,51.1657,10.4515,ES,40.4637,3.7492,FI,61.9241,25.7482,FR,46.2276,2.2137,GR,39.0742,21.8243,IT,41.8719,12.5674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,Belgium ,50.5039,4.4699,LU,49.6116,6.1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Bosnia and Herzegovina ,43.9159,17.6791,ES,40.4637,3.7492,HR,45.1000,15.2000,IT,41.8719,12.5674,ME,42.7087,19.3744,MK,41.6086,21.7453,PL,51.9194,19.1451,RS,44.0165,21.0059,SI,46.1512,14.9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,Bulgaria ,42.7339,25.4858,AT,47.5162,14.5501,BA,43.9159,17.6791,BE,50.5039,4.4699,CZ,49.8175,15.473,DE,51.1657,10.4515,ES,40.4637,3.7492,GB,55.3781,3.4360,IT,41.8719,12.5674,LT,55.1694,23.8813,MK,41.6086,21.7453,NL,52.1326,5.2913,NO,60.472,8.4689,PL,51.9194,19.1451,PT,39.3999,8.2245,SE,60.1282,18.6435,SI,46.1512,14.9955,SK,48.669,19.699,,,,,,,,,,,,,,,,,,
HR,Croatia ,45.1000,15.2000,,,,,,,ES,40.4637,3.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY,Cyprus ,35.1264,33.4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,Czech Republic ,49.8175,15.473,AT,47.5162,14.5501,CH,46.8182,8.2275,GB,55.3781,3.436,FI,61.9241,25.7482,SI,46.1512,14.9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,Denmark ,56.2639,9.5018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,Estonia ,58.5953,25.0136,NO,60.472,8.4689,LU,49.6116,6.1319,FI,61.9241,25.7482,GB,55.3781,3.4360,ES,40.4637,3.7492,DE,51.1657,10.4515,SE,60.1282,18.6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI,Finland ,61.9241,25.7482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR,France ,46.2276,2.2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Germany ,51.1657,10.4515,BA,43.9159,17.6791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,Greece ,39.0742,21.8243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HU,Hungary ,47.1625,19.5033,DE,51.1657,10.4515,GB,55.3781,3.4360,SE,60.1282,18.6435,BE,50.5039,4.4699,CH,46.8182,8.2275,ES,40.4637,3.7492,NL,52.1326,5.2913,IT,41.8719,12.5674,MT,35.9375,14.3754,GR,39.0742,21.8243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE,Ireland ,53.4129,8.2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Italy ,41.8719,12.5674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LV,Latvia ,56.8796,24.6032,FI,61.9241,25.7482,IE,53.4129,8.2439,RU,61.5240,105.3188,DK,56.2639,9.5018,GB,55.3781,3.4360,NL,52.1326,5.2913,SE,60.1282,18.6435,BE,50.5039,4.4699,DE,51.1657,10.4515,AT,47.5162,14.5501,GR,39.0742,21.8243,CY,35.1264,33.4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,Lithuania ,55.1694,23.8813,SE,60.1282,18.6435,NL,52.1326,5.2913,FI,61.9241,25.7482,IE,53.4129,8.2439,GB,55.3781,3.4360,NO,60.472,8.4689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU,Luxembourg ,49.6116,6.1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK,Macedonia ,41.6086,21.7453,BE,50.5039,4.4699,HR,45.1000,15.2000,GR,39.0742,21.8243,ME,42.7087,19.3744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,Malta ,41.6086,21.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Moldova ,47.4116,28.3699,UA,48.3794,31.1656,DE,51.1657,10.4515,RU,61.5240,105.3188,DK,56.2639,9.5018,CZ,49.8175,15.473,IE,53.4129,8.2439,PL,51.9194,19.1451,SK,48.669,19.699,CH,46.8182,8.2275,SI,46.1512,14.9955,IT,41.8719,12.5674,ES,40.4637,3.7492,RS,44.0165,21.0059,RO,45.9432,24.9668,GR,39.0742,21.8243,,,,,,,,,,,,,,,,,,,,,,,,
ME,Montenegro ,42.7087,19.3744,RS,44.0165,21.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands ,52.1326,5.2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,Norway ,60.472,8.4689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Poland ,51.9194,19.1451,FI,61.9241,25.7482,NL,52.1326,5.2913,EE,58.5953,25.0136,IE,53.4129,8.2439,GB,55.3781,3.4360,BE,50.5039,4.4699,SE,60.1282,18.6435,CZ,49.8175,15.473,CH,46.8182,8.2275,AT,47.5162,14.5501,IT,41.8719,12.5674,MT,35.9375,14.3754,GR,39.0742,21.8243,RO,45.9432,24.9668,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT,Portugal ,51.9194,19.1451,,,,,,,ES,40.4637,3.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,Romania ,45.9432,24.9668,LT,55.1694,23.8813,NO,60.472,8.4689,FI,61.9241,25.7482,PL,51.9194,19.1451,RO,45.9432,24.9668,DE,51.1657,10.4515,SE,60.1282,18.6435,CZ,49.8175,15.473,NL,52.1326,5.2913,HU,47.1625,19.5033,SK,48.669,19.699,BE,50.5039,4.4699,IE,53.4129,8.2439,GB,55.3781,3.4360,FR,46.2276,2.2137,CH,46.8182,8.2275,ES,40.4637,3.7492,PT,39.3999,8.2245,RS,44.0165,21.0059,IT,41.8719,12.5674,MT,35.9375,14.3754,GR,39.0742,21.8243,CY,35.1264,33.4299
RU,Russia ,61.5240,105.3188,SE,60.1282,18.6435,MT,35.9375,14.3754,FI,61.9241,25.7482,ES,40.4637,3.7492,CY,35.1264,33.4299,,,,PL,51.9194,19.1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,Serbia ,44.0165,21.0059,SE,60.1282,18.6435,HR,45.1000,15.2000,RU,61.5240,105.3188,AT,47.5162,14.5501,SI,46.1512,14.9955,BA,43.9159,17.6791,DE,51.1657,10.4515,ME,42.7087,19.3744,IT,41.8719,12.5674,MK,41.6086,21.7453,RO,45.9432,24.9668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK,Slovakia ,48.669,19.699,DE,"51.1657	10.4515",,GB,55.3781,3.4360,PL,51.9194,19.1451,IE,53.4129,8.2439,CH,46.8182,8.2275,SI,46.1512,14.9955,CZ,49.8175,15.473,IT,41.8719,12.5674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,Slovenia ,46.1512,14.9955,CH,46.8182,8.2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,Spain ,40.4637,3.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE,Sweden ,60.1282,18.6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,Switzerland ,46.8182,8.2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA,Ukraine ,48.3794,31.1656,FI,61.9241,25.7482,BY,53.7098,27.9534,RS,44.0165,21.0059,SE,60.1282,18.6435,PL,51.9194,19.1451,GB,55.3781,3.4360,ES,40.4637,3.7492,CZ,49.8175,15.473,SK,48.669,19.699,CH,46.8182,8.2275,PT,39.3999,8.2245,AT,47.5162,14.5501,SI,46.1512,14.9955,IT,41.8719,12.5674,BA,43.9159,17.6791,MT,35.9375,14.3754,ME,42.7087,19.3744,MK,41.6086,21.7453,GR,39.0742,21.8243,,,,,,,,,,,,
GB,United Kingdom ,55.3781,3.4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,